city,state,latitude,longitude
FAIRFORD,AL,31.178002,-88.072784
FAIRHOPE,AL,30.52092,-87.879122
FAIRVIEW,AL,34.250195,-86.677724
FALKVILLE,AL,34.377019,-86.909547
FAUNSDALE,AL,32.457614,-87.593789
FAYETTE,AL,33.694215,-87.831169
FAYETTEVILLE,AL,33.168097,-86.442774
FITZPATRICK,AL,32.210377,-85.873693
FIVE POINTS,AL,33.017311,-85.351592
FLOMATON,AL,31.014816,-87.256016
FLORALA,AL,31.022391,-86.318152
FLORENCE,AL,34.82981,-87.662202
FOLEY,AL,30.397071,-87.668458
FORESTDALE,AL,33.573632,-86.90011
FORKLAND,AL,32.647435,-87.867436
FORT DEPOSIT,AL,31.986261,-86.566359
FORT NOVOSEL,AL,31.342576,-85.716072
FORT PAYNE,AL,34.457329,-85.689447
FRANKLIN,AL,32.452693,-85.78541
FREDONIA,AL,32.983613,-85.292333
FRISCO CITY,AL,31.439485,-87.404182
FRUITDALE,AL,31.34979,-88.410937
FRUITHURST,AL,33.729539,-85.431249
FULTON,AL,31.790989,-87.744212
FULTONDALE,AL,33.617363,-86.801436
FYFFE,AL,34.448957,-85.905167
GADSDEN,AL,34.006597,-86.016078
GAINESVILLE,AL,32.814934,-88.160791
GALLANT,AL,34.001318,-86.230171
GANTT,AL,31.41074,-86.483524
GARDEN CITY,AL,34.014688,-86.749054
GARDENDALE,AL,33.674039,-86.80846
GAYLESVILLE,AL,34.267444,-85.561248
GEIGER,AL,32.868715,-88.318154
GENEVA,AL,31.043278,-85.875833
GEORGIANA,AL,31.639134,-86.746762
GERALDINE,AL,34.359087,-86.002579
GILBERTOWN,AL,31.866247,-88.307545
GLEN ALLEN,AL,33.892108,-87.732682
GLENCOE,AL,33.948339,-85.933606
GLENWOOD,AL,31.671266,-86.173687
GOLDVILLE,AL,33.084867,-85.777982
GOOD HOPE,AL,34.110689,-86.867104
GOODWATER,AL,33.060713,-86.052486
GORDO,AL,33.322286,-87.903681
GORDON,AL,31.143606,-85.092504
GORDONVILLE,AL,32.159179,-86.704235
GOSHEN,AL,31.720015,-86.123245
GRAHAM,AL,33.455191,-85.323085
GRAND BAY,AL,30.472082,-88.344401
GRANT,AL,34.518173,-86.26043
GRAYSON VALLEY,AL,33.646568,-86.641942
GRAYSVILLE,AL,33.633756,-86.941398
GREENSBORO,AL,32.700968,-87.5937
GREENVILLE,AL,31.843072,-86.636951
GRIMES,AL,31.299869,-85.45029
GROVE HILL,AL,31.69867,-87.772868
GU-WIN,AL,33.94433,-87.870376
GUIN,AL,33.98322,-87.902363
GULF SHORES,AL,30.277172,-87.702355
GULFCREST,AL,30.991107,-88.24223
GUNTERSVILLE,AL,34.367947,-86.252323
GURLEY,AL,34.701364,-86.380271
HACKLEBURG,AL,34.269355,-87.830402
HACKNEYVILLE,AL,33.054654,-85.934423
HALEBURG,AL,31.409976,-85.138068
HALEYVILLE,AL,34.233832,-87.617574
HAMILTON,AL,34.138713,-87.970833
HAMMONDVILLE,AL,34.566232,-85.640348
HANCEVILLE,AL,34.06401,-86.764436
HANOVER,AL,33.002922,-86.200931
HARPERSVILLE,AL,33.317725,-86.428431
HARTFORD,AL,31.105348,-85.691225
HARTSELLE,AL,34.440434,-86.940364
HARVEST,AL,34.85507,-86.758643
HATTON,AL,34.560671,-87.413835
HAYDEN,AL,33.894514,-86.744224
HAYNEVILLE,AL,32.182595,-86.578588
HAZEL GREEN,AL,34.923656,-86.567392
HEADLAND,AL,31.354974,-85.357031
HEATH,AL,31.344839,-86.46905
HEFLIN,AL,33.6474,-85.569339
HELENA,AL,33.284471,-86.886484
HENAGAR,AL,34.630641,-85.730918
HIGHLAND LAKE,AL,33.894586,-86.422553
HIGHLAND LAKES,AL,33.397611,-86.64792
HILLSBORO,AL,34.642586,-87.178489
HISSOP,AL,32.890568,-86.129601
HOBSON,AL,31.488725,-88.150928
HOBSON CITY,AL,33.618801,-85.846146
HODGES,AL,34.334246,-87.92316
HOKES BLUFF,AL,33.989682,-85.862873
HOLLINS,AL,33.121757,-86.126967
HOLLIS CROSSROADS,AL,33.531333,-85.652862
HOLLY POND,AL,34.167686,-86.612067
HOLLYWOOD,AL,34.717279,-85.965579
HOLT,AL,33.229745,-87.482894
HOLTVILLE,AL,32.630299,-86.328004
HOMEWOOD,AL,33.45855,-86.80965
HOOVER,AL,33.375128,-86.809416
HORN HILL,AL,31.238137,-86.325163
HUEYTOWN,AL,33.408604,-87.016565
